Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
age : cholesterol : num_major_vessels,decision_tree,0,0,0.6085057471264368,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'max_depth': 1}",0,0,0,0,0,0
age : cholesterol : num_major_vessels,random_forest,0,0,0.6666666666666667,"{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 5}",0,0,0,0,0,0
age : cholesterol : thal,linear,0,0,0.27192464665037247,{'normalize': True},0,0,0,0,0,0
age : cholesterol : thal,knn,0,0,0.7135632183908047,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : cholesterol : thal,logistic,0,0,0.7674712643678162,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : cholesterol : thal,gaussian,0,0,0.7540229885057471,{},0,0,0,0,0,0
age : cholesterol : thal,svc,0,0,0.7675862068965518,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : cholesterol : thal,decision_tree,0,0,0.6366666666666666,"{'max_features': None, 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : cholesterol : thal,random_forest,0,0,0.6702298850574713,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : max_hr : exercise_induced_angina,linear,0,0,0.22998032455719128,{'normalize': False},0,0,0,0,0,0
age : max_hr : exercise_induced_angina,knn,0,0,0.6768965517241379,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : max_hr : exercise_induced_angina,logistic,0,0,0.7136781609195404,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : max_hr : exercise_induced_angina,gaussian,0,0,0.7136781609195404,{},0,0,0,0,0,0
