+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|         Feature         |   Estimator   |     Accuracy     |   Precision    |     Recall     |       F1       |      AUC       |                                        Accuracy_best                                         |                                        Precision_best                                        |                                         Recall_best                                          |                                           F1_best                                            |                                           AUC_best                                           |
|       blood_sugar       |     linear    | -0.0130039857481 |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': False}                                     |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|       blood_sugar       |      knn      |  0.538720538721  | 0.538720538721 | 0.538720538721 | 0.538720538721 | 0.538720538721 | {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} |
|       blood_sugar       |    logistic   |  0.521885521886  | 0.521885521886 | 0.521885521886 | 0.521885521886 | 0.521885521886 |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |
|       blood_sugar       |    gaussian   |  0.501683501684  | 0.501683501684 | 0.501683501684 | 0.501683501684 | 0.501683501684 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
|       blood_sugar       |      svc      |  0.538720538721  | 0.538720538721 | 0.538720538721 | 0.538720538721 | 0.538720538721 |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |
|       blood_sugar       | decision_tree |  0.508417508418  | 0.508417508418 | 0.508417508418 | 0.508417508418 | 0.508417508418 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |
|       blood_sugar       | random_forest |  0.538720538721  | 0.538720538721 | 0.538720538721 | 0.538720538721 | 0.538720538721 |      {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |      {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |      {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |      {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |      {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |
|           ecg           |     linear    | 0.00876533830123 |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|           ecg           |      knn      |  0.585858585859  | 0.585858585859 | 0.585858585859 | 0.585858585859 | 0.585858585859 |  {'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |  {'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |  {'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |  {'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |  {'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |
|           ecg           |    logistic   |  0.579124579125  | 0.579124579125 | 0.579124579125 | 0.579124579125 | 0.579124579125 |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |
